gene_symbol,protein_name,database_source,evidence_type,direct_binding_or_activity,expression_response,species,cell_or_tissue,dose,exposure_time,direction,PMID/DOI/database_id,evidence_note,evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,canonical_symbol_rule
CMYA5,cardiomyopathy associated 5,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=CMYA5; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CMYA5 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CNR1,cannabinoid receptor 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated | upregulated,Sparus aurata (n=2),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,mixed,CTD:C012125; PMID:29933238; PMID:30600365,"CTD raw direct-DINP filter; raw_gene_symbol=CNR1; species=Sparus aurata (n=2); actions=decreases^expression (n=1); increases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of CNR1 mRNA || diisononyl phthalate results in increased expression of CNR1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CNR2,cannabinoid receptor 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:30600365,"CTD raw direct-DINP filter; raw_gene_symbol=CNR2; species=Sparus aurata (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CNR2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
COPS5,COP9 signalosome subunit 5,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:37810885,"CTD raw direct-DINP filter; raw_gene_symbol=COPS5; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of COPS5 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
COX8BP,"cytochrome c oxidase subunit 8B, pseudogene",CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=COX8B; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of COX8B mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CPT2,carnitine palmitoyltransferase 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=CPT2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CPT2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CRAT,carnitine O-acetyltransferase,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.622,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1371886_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000442; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CREB3L3,cAMP responsive element binding protein 3 like 3,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.219,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1391483_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=1.58e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CS,citrate synthase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=CS; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CS mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CXCR4,C-X-C motif chemokine receptor 4,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=CXCR4; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CXCR4 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CYP11A1,cytochrome P450 family 11 subfamily A member 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:21633115; PMID:22112501; PMID:25445723; PMID:33983380,"CTD raw direct-DINP filter; raw_gene_symbol=CYP11A1; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of CYP11A1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. Audit flag: cited publication includes multiple chemicals or a co-treatment context; do not interpret as a DINP-only mechanistic experiment without reading the primary paper.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CYP11B1,cytochrome P450 family 11 subfamily B member 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:22112501,"CTD raw direct-DINP filter; raw_gene_symbol=CYP11B1; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of CYP11B1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CYP11B2,cytochrome P450 family 11 subfamily B member 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:22112501,"CTD raw direct-DINP filter; raw_gene_symbol=CYP11B2; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of CYP11B2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CYP17A1,cytochrome P450 family 17 subfamily A member 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:22112501; PMID:25445723,"CTD raw direct-DINP filter; raw_gene_symbol=CYP17A1; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of CYP17A1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CYP4A11,cytochrome P450 family 4 subfamily A member 11,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.779,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1394844_s_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=1.76e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CYP51A1,cytochrome P450 family 51 subfamily A member 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:33983380,"CTD raw direct-DINP filter; raw_gene_symbol=CYP51; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of CYP51 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
DAGLA,diacylglycerol lipase alpha,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:30600365,"CTD raw direct-DINP filter; raw_gene_symbol=DAGLA; species=Sparus aurata (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of DAGLA mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
